Company Name,Sales 5 quarter old,Sales 4 quarter old,Sales 3 quarter old,Sales 2 quarter old,Sales 1 quarter old,Expense 5 quarter old,Expense 4 quarter old,Expense 3 quarter old,Expense 2 quarter old,Expense 1 quarter old,Operating Profit 5 quarter old ,Operating Profit 4 quarter old ,Operating Profit 3 quarter old ,Operating Profit 2 quarter old ,Operating Profit 1 quarter old ,OPM 5 quarter old,OPM 4 quarter old,OPM 3 quarter old,OPM 2 quarter old,OPM 1 quarter old,Other Income 5 quarter old,Other Income 4 quarter old,Other Income 3 quarter old,Other Income 2 quarter old,Other Income 1 quarter old,Interest 5 quarter old,Interest 4 quarter old,Interest 3 quarter old,Interest 2 quarter old,Interest 1 quarter old,Depreciation 5 quarter old,Depreciation 4 quarter old,Depreciation 3 quarter old,Depreciation 2 quarter old,Depreciation 1 quarter old,Profit before tax 5 quarter old,Profit before tax 4 quarter old,Profit before tax 3 quarter old,Profit before tax 2 quarter old,Profit before tax 1 quarter old,Tax 5 quarter old,Tax 4 quarter old,Tax 3 quarter old,Tax 2 quarter old,Tax 1 quarter old,Net Profit 5 quarter old,Net Profit 4 quarter old,Net Profit 3 quarter old,Net Profit 2 quarter old,Net Profit 1 quarter old,EPS 5 quarter old,EPS 4 quarter old,EPS 3 quarter old,EPS 2 quarter old,EPS 1 quarter old,Change in price
Bloom Industries Ltd,4.21,5.50,0.83,2.37,4.76,3.92,5.28,0.72,2.17,4.39,0.29,0.22,0.11,0.20,0.37,6.89%,4.00%,13.25%,8.44%,7.77%,0.11,0.01,0.01,0.00,0.00,0.01,0.11,0.11,0.11,0.10,0.00,0.00,0.00,0.00,0.00,0.39,0.12,0.01,0.09,0.27,12.82%,0.00%,0.00%,0.00%,14.81%,0.34,0.12,0.01,0.09,0.23,0.51,0.18,0.02,0.14,0.35,-10.17
Citizen Infoline Ltd,0.31,0.89,0.39,1.09,0.00,0.60,0.90,0.52,1.15,0.18,-0.29,-0.01,-0.13,-0.06,-0.18,-93.55%,-1.12%,-33.33%,-5.50%,,0.31,0.00,0.18,0.09,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,-0.01,0.05,0.03,-0.11,0.00%,0.00%,0.00%,0.00%,0.00%,0.02,-0.01,0.05,0.03,-0.11,0.04,-0.02,0.09,0.06,-0.20,-1.99
Darshan Orna Ltd,2.68,3.58,3.95,3.05,4.52,2.42,3.87,3.79,2.85,4.46,0.26,-0.29,0.16,0.20,0.06,9.70%,-8.10%,4.05%,6.56%,1.33%,0.00,0.34,0.00,0.10,0.06,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.05,0.15,0.29,0.11,8.00%,0.00%,26.67%,10.34%,27.27%,0.24,0.04,0.11,0.26,0.08,0.05,0.01,0.02,0.05,0.02,2.65
Fruition Venture Ltd,0.45,0.80,3.55,0.00,0.00,0.29,1.15,3.25,0.06,0.12,0.16,-0.35,0.30,-0.06,-0.12,35.56%,-43.75%,8.45%,,,0.08,0.01,0.01,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,-0.34,0.31,-0.05,-0.07,0.00%,20.59%,-12.90%,0.00%,185.71%,0.24,-0.28,0.35,-0.04,0.06,0.60,-0.70,0.88,-0.10,0.15,27.72
My Money Securities Ltd,0.22,0.00,0.36,0.09,0.30,0.31,0.23,0.17,0.19,0.19,-0.09,-0.23,0.19,-0.10,0.11,-40.91%,,52.78%,-111.11%,36.67%,0.06,0.05,0.05,0.09,0.08,0.01,0.01,0.03,0.03,0.02,0.00,0.01,0.01,0.01,0.01,-0.04,-0.20,0.20,-0.05,0.16,225.00%,0.00%,0.00%,0.00%,-93.75%,0.04,-0.20,0.21,-0.05,0.30,0.03,-0.14,0.15,-0.03,0.21,10.86
Cochin Malabar Estates & Industries Ltd,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.02,0.02,0.04,-0.03,-0.05,-0.02,-0.02,-0.04,,,,,,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.13,0.11,0.12,0.01,0.01,0.01,0.01,0.01,-0.15,-0.18,-0.16,-0.14,-0.17,0.00%,0.00%,0.00%,0.00%,0.00%,-0.15,-0.18,-0.16,-0.14,-0.17,-0.83,-1.00,-0.89,-0.78,-0.94,-5.85
Vishvprabha Ventures Ltd,1.07,0.72,0.82,0.09,0.21,1.23,0.50,0.88,0.17,0.23,-0.16,0.22,-0.06,-0.08,-0.02,-14.95%,30.56%,-7.32%,-88.89%,-9.52%,0.00,0.00,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.04,0.04,0.07,-0.19,0.19,-0.08,-0.11,-0.08,-5.26%,0.00%,0.00%,0.00%,0.00%,-0.20,0.19,-0.07,-0.11,-0.08,-1.17,1.11,-0.41,-0.64,-0.47,-80.37
Gujchem Distillers India Ltd,1.16,0.00,0.00,0.00,0.00,0.96,0.07,0.05,0.04,0.08,0.20,-0.07,-0.05,-0.04,-0.08,17.24%,,,,,0.10,0.02,0.05,0.06,0.16,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.30,-0.05,0.00,0.02,0.07,-23.33%,0.00%,,0.00%,0.00%,0.37,-0.05,0.00,0.02,0.07,2.31,-0.31,0.00,0.12,0.43,69.64
Southern Latex Ltd,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.03,0.05,0.10,-0.13,-0.05,-0.03,-0.05,-0.10,,,,,,0.36,0.06,0.06,0.06,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.01,0.03,0.01,0.26,21.74%,0.00%,0.00%,0.00%,23.08%,0.18,0.00,0.02,0.01,0.20,0.24,0.00,0.03,0.01,0.27,17.97
Indo Asia Finance Ltd,0.00,0.03,0.22,0.19,0.28,2.02,0.12,0.17,0.12,0.19,-2.02,-0.09,0.05,0.07,0.09,,-300.00%,22.73%,36.84%,32.14%,-9.12,0.16,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,-11.14,0.06,0.05,0.07,0.93,0.00%,0.00%,0.00%,0.00%,0.00%,-11.14,0.07,0.05,0.06,0.93,-7.43,0.05,0.03,0.04,0.62,-9.72
Solid Stone Company Ltd,9.10,6.69,7.28,8.23,8.61,8.06,6.23,6.13,7.17,7.41,1.04,0.46,1.15,1.06,1.20,11.43%,6.88%,15.80%,12.88%,13.94%,0.03,0.01,0.03,0.08,0.02,0.57,0.59,0.57,0.59,0.57,0.24,0.22,0.22,0.22,0.22,0.26,-0.34,0.39,0.33,0.43,34.62%,20.59%,28.21%,30.30%,23.26%,0.16,-0.26,0.29,0.23,0.33,0.30,-0.48,0.54,0.43,0.61,-11.45
Prism Medico & Pharmacy Ltd,8.44,0.00,0.00,0.00,1.27,8.72,0.08,0.02,0.02,1.24,-0.28,-0.08,-0.02,-0.02,0.03,-3.32%,,,,2.36%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.28,-0.08,-0.02,-0.02,0.03,46.43%,0.00%,0.00%,0.00%,-100.00%,-0.15,-0.08,-0.02,-0.03,0.05,-0.25,-0.13,-0.03,-0.05,0.08,-84.95
Supreme Engineering Ltd,5.00,5.00,6.00,3.00,4.00,10.00,3.00,12.00,4.00,104.00,-5.00,1.00,-6.00,-1.00,-100.00,-112%,27%,-95%,-41%,-2376%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,-6.00,1.00,-7.00,-2.00,-100.00,22%,3%,21%,1%,2%,-5.00,1.00,-6.00,-2.00,-98.00,-0.20,0.03,-0.23,-0.09,-3.92,-13.43
Ventura Textiles Ltd,6.46,10.91,2.07,0.28,0.09,7.23,11.99,2.58,0.64,2.86,-0.77,-1.08,-0.51,-0.36,-2.77,-11.92%,-9.90%,-24.64%,-128.57%,-3077.78%,1.69,1.20,0.21,0.21,3.19,-0.45,0.57,0.52,0.78,-1.52,0.21,0.20,0.20,0.20,0.20,1.16,-0.65,-1.02,-1.13,1.74,0.00%,0.00%,0.00%,0.00%,5.17%,1.16,-0.65,-1.02,-1.13,1.64,0.60,-0.33,-0.52,-0.58,0.84,-98.61
Vani Commercials Ltd,0.36,0.38,0.47,0.45,0.59,0.13,0.16,0.23,0.33,0.56,0.23,0.22,0.24,0.12,0.03,63.89%,57.89%,51.06%,26.67%,5.08%,0.00,0.18,0.15,0.00,0.08,0.19,0.19,0.13,0.09,0.05,0.00,0.00,0.00,0.00,0.00,0.04,0.21,0.26,0.03,0.06,0.00%,0.00%,0.00%,0.00%,0.00%,0.04,0.21,0.26,0.03,0.06,0.10,0.51,0.22,0.03,0.05,63.89
Coastal Roadways Ltd,8.79,9.57,10.50,9.86,9.06,8.14,8.99,9.90,9.33,8.92,0.65,0.58,0.60,0.53,0.14,7.39%,6.06%,5.71%,5.38%,1.55%,0.74,0.02,0.01,0.05,4.42,0.03,0.02,0.03,0.02,0.04,0.38,0.40,0.31,0.36,0.10,0.98,0.18,0.27,0.20,4.42,16.33%,22.22%,29.63%,25.00%,-1.13%,0.82,0.14,0.19,0.15,4.47,1.98,0.34,0.46,0.36,10.78,88.48
Eco Hotels and Resorts Ltd,0.00,0.00,0.00,0.00,0.00,0.19,0.12,0.02,0.95,0.79,-0.19,-0.12,-0.02,-0.95,-0.79,,,,,,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,-0.12,-0.02,-0.95,-0.78,0.00%,0.00%,0.00%,0.00%,0.00%,-0.16,-0.12,-0.02,-0.95,-0.78,-0.37,-0.27,-0.05,-2.18,-1.79,0.00
Mid India Industries Ltd,9.53,5.61,3.36,1.88,3.83,9.14,5.17,3.10,1.66,3.48,0.39,0.44,0.26,0.22,0.35,4.09%,7.84%,7.74%,11.70%,9.14%,0.02,0.02,-0.02,0.00,-0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.06,0.06,0.41,0.38,0.21,0.16,-0.17,51.22%,15.79%,14.29%,18.75%,-5.88%,0.20,0.32,0.17,0.14,-0.18,0.12,0.20,0.10,0.09,-0.11,6.54
Continental Chemicals Ltd,0.00,0.14,0.12,0.18,0.00,0.21,0.23,0.21,0.20,0.24,-0.21,-0.09,-0.09,-0.02,-0.24,,-64.29%,-75.00%,-11.11%,,0.18,0.18,0.20,0.21,0.24,0.03,0.00,0.00,0.00,0.03,0.02,0.01,0.01,0.01,0.05,-0.08,0.08,0.10,0.18,-0.08,-12.50%,-12.50%,30.00%,16.67%,37.50%,-0.09,0.08,0.07,0.15,-0.05,-0.40,0.36,0.31,0.67,-0.22,-22.34
Daikaffil Chemicals India Ltd,1.30,0.63,0.01,0.00,0.00,1.46,1.29,0.43,0.43,0.40,-0.16,-0.66,-0.42,-0.43,-0.40,-12.31%,-104.76%,-4200.00%,,,0.16,0.13,0.13,0.10,0.11,0.01,0.01,0.00,0.00,0.00,0.28,0.30,0.18,0.18,0.55,-0.29,-0.84,-0.47,-0.51,-0.84,17.24%,1.19%,-2.13%,9.80%,26.19%,-0.25,-0.84,-0.48,-0.47,-0.62,-0.42,-1.40,-0.80,-0.78,-1.03,-100.00
Silver Oak (India) Ltd,0.01,0.00,0.00,0.00,0.02,0.57,0.46,0.64,0.33,0.26,-0.56,-0.46,-0.64,-0.33,-0.24,-5600.00%,,,,-1200.00%,1.24,0.20,0.03,0.17,0.89,0.16,0.16,0.17,0.17,0.19,0.04,0.03,0.03,0.03,0.10,0.48,-0.45,-0.81,-0.36,0.36,6.25%,0.00%,0.00%,0.00%,0.00%,0.44,-0.45,-0.80,-0.36,0.36,0.69,-1.06,-1.61,-0.82,0.21,100.00
Phyto Chem (India) Ltd,3.44,1.41,12.47,7.88,5.00,2.92,2.23,9.97,7.60,4.36,0.52,-0.82,2.50,0.28,0.64,15.12%,-58.16%,20.05%,3.55%,12.80%,0.13,0.00,0.03,0.06,0.07,0.59,0.50,0.46,0.48,0.66,0.10,0.10,0.10,0.10,0.10,-0.04,-1.42,1.97,-0.24,-0.05,225.00%,-10.56%,0.00%,-29.17%,360.00%,0.05,-1.57,1.98,-0.31,0.12,0.12,-3.65,4.60,-0.72,0.28,4.66
Mansi Finance (Chennai) Ltd,1.43,1.59,1.67,1.87,1.42,0.77,0.29,0.27,0.30,0.57,0.66,1.30,1.40,1.57,0.85,46.15%,81.76%,83.83%,83.96%,59.86%,0.13,0.06,0.05,0.20,0.10,0.74,0.67,0.69,0.66,0.74,-0.01,0.03,0.03,0.03,0.02,0.06,0.66,0.73,1.08,0.19,366.67%,22.73%,16.44%,12.96%,142.11%,-0.16,0.52,0.62,0.94,-0.08,-0.45,1.47,1.75,2.66,-0.23,9.98
S.M. Gold Ltd,9.48,6.61,12.02,26.97,23.96,9.46,6.17,11.50,25.75,24.49,0.02,0.44,0.52,1.22,-0.53,0.21%,6.66%,4.33%,4.52%,-2.21%,1.53,0.00,0.01,0.01,1.21,0.13,0.07,0.05,0.18,0.28,0.01,0.01,0.00,0.01,0.02,1.41,0.36,0.48,1.04,0.38,11.35%,25.00%,25.00%,24.04%,26.32%,1.25,0.28,0.36,0.79,0.28,1.25,0.28,0.36,0.79,0.28,-3.03
Standard Batteries Ltd,0.00,0.00,0.00,0.00,0.00,0.14,0.13,0.15,0.14,4.99,-0.14,-0.13,-0.15,-0.14,-4.99,,,,,,-0.28,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.42,-0.12,-0.14,-0.13,-4.98,0.00%,0.00%,0.00%,0.00%,0.00%,-0.42,-0.13,-0.14,-0.13,-4.98,-1.62,-0.50,-0.54,-0.50,-19.15,0.00
Bodhtree Consulting Ltd,24.26,49.84,8.20,7.44,22.37,27.10,47.02,7.98,8.98,24.47,-2.84,2.82,0.22,-1.54,-2.10,-11.71%,5.66%,2.68%,-20.70%,-9.39%,0.06,1.02,0.00,1.16,1.39,0.35,0.20,0.00,0.36,0.22,1.15,1.22,0.00,0.11,0.11,-4.28,2.42,0.22,-0.85,-1.04,-25.00%,-12.81%,40.91%,4.71%,10.58%,-5.35,2.72,0.12,-0.80,-0.93,-2.68,1.36,0.06,-0.40,-0.47,-6.69
Shree Karthik Papers Ltd,17.42,21.50,23.01,20.83,18.71,13.93,22.06,22.05,19.48,18.23,3.49,-0.56,0.96,1.35,0.48,20.03%,-2.60%,4.17%,6.48%,2.57%,0.11,0.05,0.06,0.03,0.08,0.26,0.25,0.23,0.24,0.25,0.15,0.30,0.30,0.30,0.11,3.19,-1.06,0.49,0.84,0.20,-0.63%,4.72%,4.08%,4.76%,20.00%,3.20,-1.01,0.47,0.80,0.16,1.67,-0.53,0.25,0.42,0.08,15.10
Stephanotis Finance Ltd,0.35,0.19,0.23,0.20,0.18,0.27,0.18,0.25,0.25,0.24,0.08,0.01,-0.02,-0.05,-0.06,22.86%,5.26%,-8.70%,-25.00%,-33.33%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.01,-0.02,-0.05,-0.06,25.00%,0.00%,0.00%,0.00%,50.00%,0.06,0.01,-0.02,-0.05,-0.04,0.09,0.02,-0.03,-0.08,-0.06,-48.57
Advance Lifestyles Ltd,0.00,0.00,0.00,0.80,1.51,0.08,0.13,0.16,0.89,1.51,-0.08,-0.13,-0.16,-0.09,0.00,,,,-11.25%,0.00%,-0.20,0.00,0.30,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.28,-0.13,0.14,-0.09,0.10,510.71%,0.00%,0.00%,0.00%,0.00%,1.15,-0.13,0.14,-0.09,0.10,3.69,-0.42,0.45,-0.29,0.32,-30.34
Shalimar Agencies Ltd,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.04,0.03,-0.02,-0.01,-0.01,-0.04,-0.03,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.01,-0.01,-0.04,-0.03,0.00%,0.00%,0.00%,0.00%,0.00%,-0.02,-0.01,-0.01,-0.04,-0.03,-0.07,-0.03,-0.03,-0.13,-0.10,0.00
Panth Infinity Ltd,3.98,3.13,3.16,8.19,1.27,4.05,3.06,2.84,7.58,4.73,-0.07,0.07,0.32,0.61,-3.46,-1.76%,2.24%,10.13%,7.45%,-272.44%,0.01,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.06,0.07,0.32,0.61,-3.21,100.00%,14.29%,28.12%,24.59%,7.79%,-0.01,0.05,0.22,0.45,-2.96,-0.01,0.03,0.12,0.24,-1.60,-68.09
Lime Chemicals Ltd,5.32,4.01,4.37,3.71,3.39,6.40,3.84,4.34,3.65,3.46,-1.08,0.17,0.03,0.06,-0.07,-20.30%,4.24%,0.69%,1.62%,-2.06%,0.11,0.02,0.06,3.11,0.01,0.05,0.02,0.04,0.01,0.02,0.09,0.06,0.08,0.06,0.02,-1.11,0.11,-0.03,3.10,-0.10,9.01%,27.27%,0.00%,8.06%,-50.00%,-1.01,0.08,-0.03,2.85,-0.14,-1.55,0.12,-0.05,4.38,-0.22,-36.28
BCL Enterprises Ltd,1.78,5.18,8.27,0.42,0.25,0.38,5.77,8.14,0.30,0.56,1.40,-0.59,0.13,0.12,-0.31,78.65%,-11.39%,1.57%,28.57%,-124.00%,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,1.45,-0.60,0.12,0.11,-0.32,11.03%,0.00%,0.00%,0.00%,0.00%,1.30,-0.60,0.12,0.11,-0.31,0.11,-0.05,0.01,0.01,-0.03,-85.96
Vaksons Automobiles Ltd,0.18,0.05,0.03,0.00,0.02,0.20,0.03,0.04,0.03,0.11,-0.02,0.02,-0.01,-0.03,-0.09,-11.11%,40.00%,-33.33%,,-450.00%,0.13,0.00,0.00,0.00,0.10,0.02,0.00,0.01,0.00,0.00,0.05,0.02,0.02,0.02,0.02,0.04,0.00,-0.04,-0.05,-0.01,0.00%,,0.00%,0.00%,0.00%,0.04,0.00,-0.04,-0.04,-0.01,0.04,0.00,-0.04,-0.04,-0.01,-88.89
Kartik Investments Trust Ltd,0.00,0.00,0.02,0.00,0.00,0.02,0.02,0.02,0.02,0.02,-0.02,-0.02,0.00,-0.02,-0.02,,,0.00%,,,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.01,-0.01,-0.01,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01,-0.01,0.01,-0.01,-0.01,-0.41,-0.41,0.41,-0.41,-0.41,0.00
Sterling Green Woods Ltd,1.62,0.81,0.51,1.17,1.41,0.83,0.89,0.81,1.21,1.11,0.79,-0.08,-0.30,-0.04,0.30,48.77%,-9.88%,-58.82%,-3.42%,21.28%,0.00,0.00,0.00,0.00,0.00,0.69,0.26,0.27,0.28,0.04,0.09,0.13,0.13,0.13,0.16,0.01,-0.47,-0.70,-0.45,0.10,-1900.00%,0.00%,0.00%,0.00%,-360.00%,0.20,-0.47,-0.71,-0.45,0.47,0.47,-1.11,-1.67,-1.06,1.11,-12.96
Aishwarya Technologies & Telecom Ltd,2.48,1.60,1.15,0.60,1.10,3.19,3.26,0.98,1.22,2.42,-0.71,-1.66,0.17,-0.62,-1.32,-28.63%,-103.75%,14.78%,-103.33%,-120.00%,0.13,2.61,0.24,0.15,0.65,0.22,0.16,0.16,0.15,0.13,0.07,0.05,0.05,0.02,0.01,-0.87,0.74,0.20,-0.64,-0.81,0.00%,0.00%,0.00%,0.00%,4.94%,-0.87,0.74,0.20,-0.64,-0.77,-0.36,0.31,0.08,-0.27,-0.32,-55.65
Vaxfab Enterprises Ltd,0.27,0.13,0.26,2.03,14.33,0.18,0.09,0.29,1.89,14.03,0.09,0.04,-0.03,0.14,0.30,33.33%,30.77%,-11.54%,6.90%,2.09%,0.02,0.00,0.00,0.00,0.00,0.00,0.04,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.01,0.14,0.30,0.00%,,0.00%,28.57%,26.67%,0.11,0.00,0.01,0.10,0.22,0.13,0.00,0.01,0.12,0.26,0.24
Essar Securities Ltd,0.03,0.03,0.03,0.02,0.00,0.04,0.08,0.04,0.04,0.04,-0.01,-0.05,-0.01,-0.02,-0.04,-33.33%,-166.67%,-33.33%,-100.00%,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.05,-0.01,-0.02,-0.04,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01,-0.05,-0.01,-0.02,-0.04,-0.01,-0.03,-0.01,-0.01,-0.03,-100.00
Hathway Bhawani Cabletel & Datacom Ltd,0.88,0.80,0.81,0.74,0.70,0.66,0.80,0.64,0.61,0.65,0.22,0.00,0.17,0.13,0.05,25.00%,0.00%,20.99%,17.57%,7.14%,0.02,0.00,0.03,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.04,0.20,-0.04,0.16,0.10,0.05,15.00%,0.00%,31.25%,30.00%,20.00%,0.17,-0.04,0.11,0.07,0.03,0.21,-0.05,0.14,0.09,0.04,-1.68
Yuvraaj Hygiene Products Ltd,4.66,4.76,5.50,4.72,4.41,5.52,5.21,6.26,5.06,4.50,-0.86,-0.45,-0.76,-0.34,-0.09,-18.45%,-9.45%,-13.82%,-7.20%,-2.04%,0.21,0.20,0.20,0.20,0.20,-0.01,0.00,0.00,0.00,0.03,0.13,0.10,0.10,0.10,0.10,-0.77,-0.35,-0.66,-0.24,-0.02,3.90%,5.71%,4.55%,12.50%,100.00%,-0.74,-0.32,-0.64,-0.22,0.00,-0.08,-0.04,-0.07,-0.02,0.00,-5.36
Frontline Corporation Ltd,18.25,20.95,15.56,19.60,20.56,18.79,20.73,15.00,18.64,21.48,-0.54,0.22,0.56,0.96,-0.92,-2.96%,1.05%,3.60%,4.90%,-4.47%,0.98,0.76,0.70,0.73,2.22,0.15,0.01,0.01,0.01,0.08,0.40,0.38,0.39,0.41,0.42,-0.11,0.59,0.86,1.27,0.80,36.36%,25.42%,23.26%,24.41%,21.25%,-0.07,0.44,0.67,0.97,0.63,-0.14,0.88,1.34,1.94,1.26,25.98
Aroma Enterprises (India) Ltd,0.00,0.00,0.00,0.00,0.00,0.28,0.09,0.05,0.05,0.04,-0.28,-0.09,-0.05,-0.05,-0.04,,,,,,0.36,0.39,0.40,0.40,0.00,-0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.01,0.01,0.07,0.29,0.34,0.34,-0.05,0.00%,0.00%,0.00%,0.00%,0.00%,0.07,0.28,0.33,0.34,-0.06,0.14,0.57,0.68,0.70,-0.12,38.13
Manraj Housing Finance Ltd,0.00,0.01,0.00,0.00,0.00,0.06,0.05,0.06,0.05,0.06,-0.06,-0.04,-0.06,-0.05,-0.06,,-400.00%,,,,0.02,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,-0.02,-0.04,-0.03,-0.04,0.00%,0.00%,0.00%,0.00%,0.00%,-0.04,-0.02,-0.04,-0.03,-0.04,-0.08,-0.04,-0.08,-0.06,-0.08,34.45
GTN Textiles Ltd,16.00,10.00,0.00,0.00,0.00,17.00,11.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,-3%,-9%,,,,0.00,0.00,-4.00,4.00,-17.00,3.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,-4.00,-4.00,-4.00,4.00,-17.00,29%,0%,0%,0%,21%,-3.00,-4.00,-4.00,4.00,-13.00,-2.53,-3.46,-3.82,3.22,-11.37,-100.00
Sovereign Diamonds Ltd,5.52,7.01,7.83,6.51,7.42,4.95,6.25,7.06,5.76,6.45,0.57,0.76,0.77,0.75,0.97,10.33%,10.84%,9.83%,11.52%,13.07%,0.00,0.30,0.00,0.00,0.00,0.23,0.24,0.27,0.30,0.32,0.14,0.12,0.12,0.12,0.13,0.20,0.70,0.38,0.33,0.52,-10.00%,27.14%,26.32%,27.27%,26.92%,0.22,0.52,0.27,0.23,0.38,0.38,0.90,0.47,0.40,0.66,18.23
Rajasthan Cylinders & Containers Ltd,3.30,3.17,3.83,4.11,1.02,4.94,5.04,4.57,5.14,3.05,-1.64,-1.87,-0.74,-1.03,-2.03,-49.70%,-58.99%,-19.32%,-25.06%,-199.02%,1.94,8.52,3.81,0.32,0.15,0.37,0.21,0.03,0.03,0.03,0.16,0.14,0.15,0.16,0.13,-0.23,6.30,2.89,-0.90,-2.04,-247.83%,3.81%,-2.08%,118.89%,33.82%,-0.79,6.06,2.95,0.18,-1.34,-2.35,18.03,8.78,0.54,-3.99,21.05
KJMC Corporate Advisors (India) Ltd,1.43,0.85,1.69,1.25,1.57,1.21,1.57,1.61,1.62,1.72,0.22,-0.72,0.08,-0.37,-0.15,15.38%,-84.71%,4.73%,-29.60%,-9.55%,0.22,0.10,0.20,0.28,1.00,0.03,0.03,0.03,0.04,0.05,0.11,0.09,0.09,0.11,0.12,0.30,-0.74,0.16,-0.24,0.68,3.33%,25.68%,37.50%,4.17%,19.12%,0.33,-0.68,0.20,0.32,0.55,0.84,-1.73,0.51,0.81,1.40,38.34
Conart Engineers Ltd,11.46,5.67,13.28,8.01,8.53,10.98,5.14,12.62,7.16,7.65,0.48,0.53,0.66,0.85,0.88,4.19%,9.35%,4.97%,10.61%,10.32%,0.24,0.06,0.03,0.04,0.05,0.00,0.02,0.01,0.00,0.00,0.12,0.13,0.14,0.13,0.15,0.60,0.44,0.54,0.76,0.78,21.67%,27.27%,40.74%,25.00%,14.10%,0.47,0.34,0.33,0.57,0.66,1.50,1.08,1.05,1.82,2.10,18.19
Sanblue Corporation Ltd,1.20,0.00,0.34,0.37,3.07,1.26,0.09,0.41,0.43,3.10,-0.06,-0.09,-0.07,-0.06,-0.03,-5.00%,,-20.59%,-16.22%,-0.98%,0.00,0.00,0.63,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.06,-0.09,0.56,0.27,-0.03,0.00%,0.00%,0.00%,0.00%,0.00%,-0.07,-0.09,0.56,0.26,-0.04,-0.14,-0.18,1.12,0.52,-0.08,0.22
Octavius Plantations Ltd,4.32,5.52,1.92,3.33,11.07,4.25,5.13,1.15,2.63,10.53,0.07,0.39,0.77,0.70,0.54,1.62%,7.07%,40.10%,21.02%,4.88%,0.32,0.00,0.00,0.11,0.29,0.06,0.06,0.07,0.04,0.30,0.00,0.00,0.00,0.01,0.02,0.33,0.33,0.70,0.76,0.51,0.00%,0.00%,0.00%,1.32%,80.39%,0.33,0.33,0.70,0.76,0.10,1.10,1.10,2.33,2.53,0.33,-1.87
Lypsa Gems & Jewellery Ltd,3.87,0.97,0.32,3.50,8.40,3.82,0.84,0.21,3.41,8.42,0.05,0.13,0.11,0.09,-0.02,1.29%,13.40%,34.38%,2.57%,-0.24%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07,0.07,-0.02,0.06,0.04,0.02,-0.09,150.00%,0.00%,0.00%,0.00%,0.00%,0.01,0.06,0.04,0.02,-0.09,0.00,0.02,0.01,0.01,-0.03,3.37
